County,Total Population,White Population,Black or African American Population,American Indian and Alaska Native Population,Asian Population,Male Population,Female Population,Hispanic or Latino Population,Median Household Income (Overall),Median Household Income (White Alone),Median Household Income (Black or African American Alone),Median Household Income (American Indian and Alaska Native Alone),Median Household Income (Asian Alone),Median Household Income (Native Hawaiian and Other Pacific Islander Alone),Median Household Income (Some Other Race Alone),Median Household Income (Two or More Races),Median Household Income (Hispanic or Latino),Speak Only English at Home (Population 5 years and over),Speak Spanish at Home (Population 5 years and over),Speak Other Indo-European Languages at Home (Population 5 years and over),Speak Asian and Pacific Island Languages at Home (Population 5 years and over),Speak Other Languages at Home (Population 5 years and over),Year
"Tyrrell County, North Carolina",4379.0,2478.0,1586.0,8.0,94.0,2469.0,1910.0,2449.0,34071.0,43681.0,15951.0,-666666666.0,48661.0,-666666666.0,33542.0,33625.0,45125.0,3931.0,215.0,3.0,0.0,0.0,2011
"Haywood County, North Carolina",58836.0,56323.0,556.0,323.0,211.0,28316.0,30520.0,55327.0,41768.0,42142.0,36719.0,32051.0,28977.0,-666666666.0,39200.0,32917.0,28313.0,53770.0,1499.0,107.0,0.0,84.0,2011
"Forsyth County, North Carolina",347567.0,223621.0,90561.0,850.0,6440.0,165135.0,182432.0,206311.0,46417.0,53988.0,32333.0,28125.0,70062.0,-666666666.0,30235.0,36471.0,31175.0,279519.0,33519.0,961.0,41.0,491.0,2011
"Bladen County, North Carolina",34789.0,19642.0,12122.0,849.0,9.0,16702.0,18087.0,19081.0,30273.0,37685.0,20482.0,24963.0,-666666666.0,-666666666.0,37651.0,23618.0,32788.0,30682.0,1871.0,19.0,0.0,8.0,2011
"Carteret County, North Carolina",65743.0,58589.0,4118.0,227.0,561.0,32390.0,33353.0,57541.0,47403.0,48683.0,30292.0,79286.0,39639.0,-666666666.0,31653.0,46742.0,32436.0,59657.0,1817.0,164.0,0.0,50.0,2011
"Bertie County, North Carolina",21082.0,7508.0,13271.0,63.0,78.0,10407.0,10675.0,7381.0,29326.0,50631.0,23258.0,78750.0,53229.0,-666666666.0,-666666666.0,11346.0,-666666666.0,19618.0,174.0,0.0,0.0,0.0,2011
"Martin County, North Carolina",24375.0,12943.0,10468.0,85.0,32.0,11486.0,12889.0,12646.0,36345.0,44577.0,25307.0,45568.0,23906.0,-666666666.0,14928.0,75893.0,24639.0,22208.0,714.0,14.0,0.0,0.0,2011
"Perquimans County, North Carolina",13289.0,9648.0,3543.0,0.0,3.0,6356.0,6933.0,9495.0,37862.0,49989.0,16745.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,103000.0,12360.0,244.0,9.0,0.0,0.0,2011
"Rockingham County, North Carolina",93393.0,70776.0,17577.0,247.0,371.0,45069.0,48324.0,68813.0,38311.0,40811.0,31589.0,23984.0,38958.0,-666666666.0,32384.0,40149.0,31194.0,83420.0,4115.0,21.0,0.0,12.0,2011
"Camden County, North Carolina",9858.0,8086.0,1485.0,18.0,104.0,4964.0,4894.0,7898.0,63998.0,63250.0,67969.0,-666666666.0,-666666666.0,-666666666.0,101806.0,-666666666.0,93194.0,9074.0,99.0,14.0,0.0,0.0,2011
"Gaston County, North Carolina",204788.0,160781.0,30901.0,1059.0,2546.0,99111.0,105677.0,156244.0,43052.0,46937.0,30605.0,50156.0,61775.0,-666666666.0,27855.0,27500.0,30578.0,178295.0,9940.0,310.0,21.0,39.0,2011
"Moore County, North Carolina",87216.0,71323.0,11822.0,559.0,717.0,41776.0,45440.0,67819.0,48348.0,52874.0,25293.0,23125.0,39850.0,-666666666.0,33529.0,14398.0,32721.0,76210.0,4392.0,354.0,0.0,101.0,2011
"Stanly County, North Carolina",60394.0,51050.0,6776.0,121.0,1138.0,30155.0,30239.0,49687.0,43424.0,46522.0,23562.0,32404.0,68333.0,-666666666.0,43235.0,13571.0,37743.0,53537.0,1916.0,53.0,0.0,30.0,2011
"Yancey County, North Carolina",17885.0,17317.0,93.0,70.0,57.0,8626.0,9259.0,16748.0,38950.0,38971.0,9196.0,-666666666.0,2499.0,-666666666.0,19250.0,48472.0,12372.0,16239.0,696.0,29.0,12.0,0.0,2011
"Chatham County, North Carolina",62506.0,48310.0,8506.0,223.0,771.0,30144.0,32362.0,44560.0,56935.0,62122.0,30252.0,33707.0,71250.0,-666666666.0,40014.0,50893.0,32837.0,50823.0,6475.0,191.0,0.0,119.0,2011
"Johnston County, North Carolina",165238.0,128893.0,25349.0,541.0,801.0,81497.0,83741.0,115982.0,49888.0,54324.0,32930.0,18963.0,58009.0,-666666666.0,27097.0,44792.0,34331.0,134070.0,16635.0,267.0,6.0,26.0,2011
"Person County, North Carolina",39218.0,27077.0,10709.0,252.0,165.0,19020.0,20198.0,26215.0,43271.0,49209.0,35148.0,55714.0,250001.0,-666666666.0,24423.0,39063.0,24963.0,35200.0,1338.0,16.0,0.0,0.0,2011
"Ashe County, North Carolina",26991.0,25531.0,137.0,165.0,101.0,13209.0,13782.0,25199.0,36498.0,37189.0,76213.0,22500.0,21531.0,-666666666.0,24679.0,37888.0,23659.0,24298.0,1144.0,25.0,0.0,0.0,2011
"Lenoir County, North Carolina",59326.0,31511.0,23998.0,127.0,242.0,28345.0,30981.0,30625.0,33749.0,45286.0,24285.0,50950.0,85375.0,-666666666.0,21159.0,42816.0,23594.0,51826.0,3233.0,89.0,0.0,0.0,2011
"Onslow County, North Carolina",172917.0,127949.0,28085.0,1311.0,3209.0,93378.0,79539.0,119078.0,45457.0,47337.0,36617.0,39250.0,38918.0,21862.0,46410.0,45081.0,46404.0,141879.0,9943.0,671.0,69.0,219.0,2011
"Rutherford County, North Carolina",67262.0,58342.0,6637.0,264.0,279.0,32395.0,34867.0,56756.0,37128.0,39206.0,20227.0,11481.0,46036.0,-666666666.0,70044.0,26188.0,24624.0,60450.0,1958.0,107.0,0.0,25.0,2011
"Yadkin County, North Carolina",38232.0,34368.0,1350.0,37.0,14.0,18795.0,19437.0,32924.0,40375.0,41493.0,34796.0,11607.0,-666666666.0,-666666666.0,21269.0,33304.0,21735.0,32688.0,3030.0,24.0,0.0,12.0,2011
"Burke County, North Carolina",90753.0,77715.0,6055.0,350.0,3063.0,45385.0,45368.0,75329.0,37440.0,38072.0,31875.0,13750.0,49023.0,-666666666.0,29241.0,29732.0,24824.0,78866.0,3731.0,82.0,0.0,0.0,2011
"Greene County, North Carolina",21323.0,10677.0,7894.0,263.0,24.0,11259.0,10064.0,10136.0,41073.0,49705.0,29847.0,17056.0,-666666666.0,-666666666.0,43932.0,20125.0,42778.0,17303.0,2669.0,6.0,0.0,0.0,2011
"Mitchell County, North Carolina",15631.0,15089.0,144.0,27.0,47.0,7657.0,7974.0,14737.0,36165.0,36017.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48415.0,31250.0,22273.0,14211.0,518.0,69.0,0.0,0.0,2011
"Chowan County, North Carolina",14863.0,9160.0,5311.0,184.0,81.0,7043.0,7820.0,9073.0,34565.0,43271.0,19615.0,37759.0,61250.0,-666666666.0,-666666666.0,-666666666.0,57895.0,13518.0,226.0,14.0,0.0,29.0,2011
"Alleghany County, North Carolina",11106.0,10174.0,141.0,30.0,40.0,5606.0,5500.0,9825.0,32478.0,32075.0,42188.0,-666666666.0,-666666666.0,-666666666.0,41103.0,26071.0,40470.0,9741.0,761.0,0.0,0.0,0.0,2011
"Caldwell County, North Carolina",82464.0,74135.0,3934.0,213.0,443.0,40562.0,41902.0,73078.0,37845.0,39357.0,19104.0,29327.0,43462.0,-666666666.0,26881.0,20074.0,26430.0,74397.0,2760.0,72.0,0.0,6.0,2011
"Catawba County, North Carolina",153886.0,126836.0,13058.0,495.0,4880.0,75450.0,78436.0,120511.0,43733.0,46701.0,26925.0,24250.0,40955.0,-666666666.0,26128.0,31875.0,31241.0,129268.0,9887.0,270.0,11.0,45.0,2011
"Cleveland County, North Carolina",97880.0,74665.0,20490.0,273.0,834.0,47010.0,50870.0,72806.0,38352.0,42435.0,27228.0,41875.0,37227.0,-666666666.0,31033.0,25774.0,24773.0,88456.0,2581.0,94.0,81.0,19.0,2011
"Craven County, North Carolina",101576.0,71067.0,22631.0,394.0,1905.0,50476.0,51100.0,68378.0,46251.0,53214.0,28869.0,21776.0,29722.0,29545.0,26656.0,48750.0,35250.0,87470.0,3853.0,150.0,40.0,116.0,2011
"Edgecombe County, North Carolina",56232.0,21897.0,32300.0,115.0,85.0,26137.0,30095.0,21245.0,34198.0,42994.0,27802.0,19420.0,-666666666.0,-666666666.0,43578.0,25893.0,33250.0,50472.0,1653.0,101.0,0.0,23.0,2011
"Granville County, North Carolina",59032.0,35314.0,19267.0,336.0,377.0,31382.0,27650.0,34058.0,49090.0,56607.0,36117.0,41875.0,94688.0,-666666666.0,38415.0,31875.0,52143.0,51514.0,3363.0,152.0,3.0,55.0,2011
"Harnett County, North Carolina",112287.0,77441.0,23228.0,986.0,1056.0,55121.0,57166.0,72627.0,42965.0,47739.0,33510.0,23828.0,47598.0,55938.0,36033.0,36793.0,34703.0,92200.0,8869.0,292.0,116.0,57.0,2011
"Hoke County, North Carolina",45718.0,21056.0,16021.0,3955.0,611.0,22230.0,23488.0,18707.0,46540.0,53446.0,38469.0,27140.0,26500.0,-666666666.0,40152.0,45104.0,46875.0,36288.0,4116.0,58.0,8.0,0.0,2011
"Henderson County, North Carolina",105453.0,93917.0,3620.0,600.0,1038.0,50950.0,54503.0,89330.0,47371.0,48464.0,35833.0,32179.0,85990.0,-666666666.0,30625.0,36069.0,29444.0,89057.0,8173.0,198.0,43.0,92.0,2011
"Hyde County, North Carolina",5763.0,3421.0,1975.0,37.0,21.0,3120.0,2643.0,3330.0,40753.0,50539.0,14149.0,-666666666.0,-666666666.0,-666666666.0,29500.0,-666666666.0,29850.0,5065.0,416.0,12.0,0.0,4.0,2011
"Iredell County, North Carolina",157501.0,129679.0,19026.0,374.0,2971.0,77413.0,80088.0,123227.0,51139.0,54775.0,31678.0,38906.0,64071.0,-666666666.0,25685.0,43087.0,35219.0,135668.0,8611.0,230.0,0.0,143.0,2011
"Mecklenburg County, North Carolina",905277.0,526444.0,274815.0,3339.0,41307.0,438076.0,467201.0,465558.0,55994.0,68551.0,40396.0,43276.0,63758.0,50882.0,36653.0,44745.0,38888.0,688512.0,87340.0,4664.0,346.0,770.0,2011
"Northampton County, North Carolina",22120.0,8889.0,12542.0,16.0,4.0,10658.0,11462.0,8618.0,32090.0,44138.0,25357.0,63393.0,-666666666.0,-666666666.0,-666666666.0,16964.0,41150.0,20342.0,362.0,6.0,20.0,4.0,2011
"Pitt County, North Carolina",165012.0,98699.0,55882.0,444.0,2596.0,77786.0,87226.0,95086.0,39824.0,48173.0,27580.0,42452.0,75703.0,-666666666.0,31753.0,50046.0,35017.0,143349.0,7300.0,205.0,9.0,4.0,2011
"Rowan County, North Carolina",137654.0,106470.0,22310.0,547.0,1388.0,67717.0,69937.0,101523.0,43121.0,47633.0,26978.0,33352.0,58608.0,-666666666.0,33235.0,25236.0,33861.0,118029.0,8761.0,117.0,0.0,11.0,2011
"Vance County, North Carolina",45112.0,19285.0,22408.0,207.0,149.0,21245.0,23867.0,19092.0,34084.0,47391.0,26172.0,49107.0,47951.0,-666666666.0,16168.0,22446.0,18396.0,39236.0,2511.0,55.0,0.0,0.0,2011
"Cherokee County, North Carolina",27380.0,25534.0,297.0,385.0,181.0,13315.0,14065.0,25275.0,38621.0,38794.0,18240.0,83150.0,60750.0,-666666666.0,27196.0,51490.0,27365.0,24897.0,669.0,18.0,0.0,44.0,2011
"Currituck County, North Carolina",23507.0,21293.0,1542.0,51.0,120.0,11693.0,11814.0,20841.0,57588.0,59541.0,32474.0,-666666666.0,46513.0,-666666666.0,-666666666.0,53295.0,57235.0,21393.0,544.0,44.0,0.0,15.0,2011
"Union County, North Carolina",196931.0,160656.0,23256.0,933.0,2899.0,97341.0,99590.0,147619.0,64813.0,67552.0,43141.0,63919.0,107500.0,180255.0,34898.0,81951.0,46151.0,159135.0,16589.0,481.0,46.0,136.0,2011
"Wilkes County, North Carolina",69162.0,62534.0,2904.0,206.0,329.0,34151.0,35011.0,61592.0,33464.0,34243.0,26000.0,25375.0,84500.0,-666666666.0,20492.0,38472.0,21004.0,61637.0,3014.0,76.0,0.0,0.0,2011
"Nash County, North Carolina",95182.0,54217.0,35099.0,435.0,737.0,45879.0,49303.0,51965.0,45052.0,52807.0,32682.0,43958.0,33264.0,-666666666.0,48073.0,30944.0,42406.0,82665.0,5033.0,121.0,0.0,55.0,2011
"Alexander County, North Carolina",36964.0,32815.0,1944.0,89.0,304.0,18584.0,18380.0,32446.0,40658.0,41399.0,34323.0,51875.0,60313.0,84750.0,26602.0,38023.0,30450.0,33018.0,1466.0,0.0,0.0,7.0,2011
"Dare County, North Carolina",33819.0,31740.0,1401.0,257.0,23.0,16957.0,16862.0,30124.0,54750.0,56299.0,39694.0,26631.0,9479.0,-666666666.0,21587.0,77853.0,35875.0,29492.0,1848.0,115.0,0.0,49.0,2011
"Warren County, North Carolina",20882.0,8085.0,10929.0,883.0,47.0,10521.0,10361.0,7915.0,34495.0,53942.0,25615.0,14875.0,-666666666.0,-666666666.0,35469.0,74472.0,37344.0,18985.0,565.0,0.0,0.0,0.0,2011
"Wilson County, North Carolina",80351.0,41536.0,31042.0,163.0,545.0,38295.0,42056.0,40049.0,38760.0,53189.0,27268.0,25294.0,7446.0,-666666666.0,28512.0,36711.0,30465.0,67560.0,6196.0,85.0,2.0,43.0,2011
"Gates County, North Carolina",12103.0,7657.0,4147.0,40.0,26.0,5972.0,6131.0,7608.0,45183.0,52121.0,30694.0,9333.0,161406.0,-666666666.0,-666666666.0,122500.0,36500.0,11181.0,137.0,36.0,0.0,13.0,2011
"Graham County, North Carolina",8752.0,7904.0,28.0,496.0,143.0,4344.0,4408.0,7850.0,32255.0,31471.0,-666666666.0,44450.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38333.0,8007.0,234.0,0.0,0.0,0.0,2011
"Madison County, North Carolina",20661.0,19879.0,226.0,64.0,83.0,10320.0,10341.0,19657.0,38063.0,38134.0,72875.0,-666666666.0,-666666666.0,-666666666.0,16250.0,33750.0,18979.0,19161.0,400.0,56.0,0.0,0.0,2011
"Pamlico County, North Carolina",13114.0,10011.0,2613.0,18.0,70.0,6724.0,6390.0,9795.0,43658.0,50865.0,30875.0,-666666666.0,19250.0,-666666666.0,50962.0,79583.0,51094.0,12001.0,315.0,6.0,0.0,6.0,2011
"Polk County, North Carolina",20354.0,18721.0,1004.0,24.0,101.0,9918.0,10436.0,18041.0,43332.0,43571.0,32765.0,-666666666.0,52969.0,-666666666.0,165583.0,35000.0,24274.0,18375.0,775.0,59.0,0.0,0.0,2011
"Randolph County, North Carolina",140916.0,122214.0,8025.0,573.0,1301.0,69385.0,71531.0,114921.0,40602.0,42222.0,30401.0,37115.0,41458.0,-666666666.0,28689.0,17297.0,31287.0,117934.0,11900.0,173.0,0.0,118.0,2011
"Stokes County, North Carolina",47294.0,44370.0,2057.0,244.0,171.0,22897.0,24397.0,43372.0,43099.0,44124.0,38125.0,13750.0,30486.0,-666666666.0,21522.0,62917.0,35341.0,43483.0,967.0,57.0,0.0,11.0,2011
"Washington County, North Carolina",13179.0,6062.0,6868.0,82.0,17.0,6357.0,6822.0,5998.0,34219.0,49201.0,21250.0,90357.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57875.0,12108.0,168.0,0.0,0.0,17.0,2011
"Greene County, North Carolina",21386.0,10624.0,7906.0,131.0,55.0,11459.0,9927.0,10117.0,40833.0,50423.0,31614.0,15903.0,73125.0,-666666666.0,19025.0,22337.0,22944.0,16992.0,2703.0,34.0,0.0,50.0,2012
"Mitchell County, North Carolina",15539.0,15122.0,127.0,38.0,41.0,7627.0,7912.0,14600.0,36276.0,36392.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34500.0,18750.0,14136.0,533.0,67.0,0.0,0.0,2012
"Chowan County, North Carolina",14825.0,9323.0,5064.0,124.0,109.0,7088.0,7737.0,9015.0,36385.0,42569.0,20938.0,39091.0,64375.0,-666666666.0,-666666666.0,-666666666.0,53606.0,13518.0,241.0,31.0,0.0,0.0,2012
"Alleghany County, North Carolina",11069.0,10276.0,128.0,36.0,32.0,5558.0,5511.0,9756.0,32449.0,32814.0,43125.0,-666666666.0,-666666666.0,-666666666.0,30476.0,14063.0,21500.0,9712.0,757.0,9.0,0.0,0.0,2012
"Caldwell County, North Carolina",82493.0,74276.0,3928.0,289.0,477.0,40473.0,42020.0,73032.0,36108.0,38367.0,19577.0,27813.0,43274.0,-666666666.0,26530.0,23043.0,27554.0,74392.0,2656.0,58.0,0.0,5.0,2012
"Catawba County, North Carolina",154201.0,127427.0,13112.0,571.0,5305.0,75649.0,78552.0,120326.0,43657.0,46411.0,28011.0,23587.0,40583.0,-666666666.0,23365.0,32102.0,30456.0,129299.0,10089.0,255.0,33.0,66.0,2012
"Cleveland County, North Carolina",97890.0,74895.0,20476.0,188.0,860.0,47040.0,50850.0,72696.0,38181.0,42781.0,26076.0,31917.0,36536.0,-666666666.0,32821.0,26292.0,24208.0,88484.0,2499.0,89.0,123.0,5.0,2012
"Craven County, North Carolina",102904.0,72226.0,22465.0,395.0,2120.0,51438.0,51466.0,69033.0,47383.0,53597.0,29108.0,22130.0,21250.0,31477.0,28688.0,50857.0,43800.0,88077.0,4269.0,158.0,43.0,138.0,2012
"Edgecombe County, North Carolina",56253.0,21988.0,32199.0,261.0,66.0,26163.0,30090.0,21172.0,33917.0,43176.0,28575.0,38995.0,4375.0,-666666666.0,28347.0,19063.0,29171.0,50601.0,1667.0,134.0,0.0,31.0,2012
"Granville County, North Carolina",59666.0,36140.0,19455.0,258.0,380.0,31734.0,27932.0,34409.0,49893.0,55709.0,35078.0,56087.0,97750.0,-666666666.0,35071.0,33636.0,50015.0,52119.0,3607.0,128.0,5.0,35.0,2012
"Harnett County, North Carolina",115559.0,80169.0,23909.0,1023.0,1098.0,56719.0,58840.0,74197.0,44242.0,49113.0,33782.0,29063.0,48889.0,65000.0,37661.0,38375.0,34196.0,94835.0,9210.0,318.0,11.0,59.0,2012
"Hoke County, North Carolina",47368.0,22299.0,16220.0,4097.0,601.0,23117.0,24251.0,19365.0,46900.0,53790.0,37984.0,28243.0,47344.0,-666666666.0,36680.0,46848.0,47031.0,37402.0,4361.0,51.0,10.0,0.0,2012
"Henderson County, North Carolina",106577.0,96600.0,3595.0,542.0,1139.0,51488.0,55089.0,89990.0,46503.0,47679.0,30080.0,34890.0,89128.0,-666666666.0,29839.0,33587.0,27722.0,90059.0,8449.0,235.0,33.0,19.0,2012
"Hyde County, North Carolina",5810.0,3453.0,2009.0,33.0,7.0,3172.0,2638.0,3411.0,43608.0,52050.0,25733.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5152.0,360.0,14.0,0.0,5.0,2012
"Iredell County, North Carolina",159614.0,131158.0,19306.0,548.0,2978.0,78719.0,80895.0,124271.0,50058.0,54175.0,30832.0,46250.0,68245.0,-666666666.0,23788.0,44919.0,28524.0,137228.0,8976.0,247.0,57.0,143.0,2012
"Mecklenburg County, North Carolina",926873.0,537507.0,282309.0,3670.0,43659.0,448166.0,478707.0,469783.0,55961.0,68913.0,39386.0,33438.0,65165.0,37205.0,37297.0,42081.0,39858.0,702180.0,91033.0,4576.0,455.0,746.0,2012
"Northampton County, North Carolina",21959.0,8775.0,12556.0,24.0,16.0,10589.0,11370.0,8530.0,30911.0,44375.0,25206.0,63375.0,-666666666.0,-666666666.0,-666666666.0,8977.0,42946.0,20290.0,349.0,7.0,22.0,7.0,2012
"Pitt County, North Carolina",167951.0,100209.0,56980.0,432.0,2638.0,79231.0,88720.0,96177.0,40452.0,48761.0,28487.0,78854.0,63750.0,-666666666.0,33730.0,39375.0,34201.0,145792.0,7313.0,239.0,9.0,9.0,2012
"Rowan County, North Carolina",138189.0,106969.0,22624.0,711.0,1375.0,68153.0,70036.0,101503.0,41561.0,45912.0,27103.0,33750.0,40145.0,-666666666.0,33520.0,21929.0,33559.0,118428.0,9047.0,87.0,0.0,11.0,2012
"Vance County, North Carolina",45183.0,19115.0,22619.0,129.0,69.0,21017.0,24166.0,18939.0,34499.0,50517.0,26806.0,41544.0,-666666666.0,-666666666.0,15017.0,36250.0,16689.0,39532.0,2317.0,58.0,0.0,0.0,2012
"Cherokee County, North Carolina",27304.0,25427.0,267.0,507.0,155.0,13245.0,14059.0,25151.0,34981.0,35269.0,11719.0,50192.0,63250.0,-666666666.0,29639.0,51094.0,29365.0,24834.0,686.0,17.0,0.0,56.0,2012
"Currituck County, North Carolina",23677.0,21443.0,1485.0,48.0,100.0,11842.0,11835.0,20937.0,57446.0,60066.0,32205.0,52941.0,59444.0,-666666666.0,36250.0,39375.0,55878.0,21436.0,558.0,40.0,0.0,27.0,2012
"Union County, North Carolina",201617.0,164971.0,23715.0,882.0,3206.0,99665.0,101952.0,150325.0,64953.0,68654.0,44913.0,51490.0,114750.0,183056.0,41443.0,83324.0,43891.0,163177.0,17434.0,468.0,54.0,115.0,2012
"Wilkes County, North Carolina",69265.0,62652.0,2991.0,162.0,332.0,34055.0,35210.0,61533.0,32009.0,32925.0,19286.0,8482.0,144219.0,-666666666.0,21266.0,14792.0,24091.0,61988.0,2990.0,39.0,0.0,0.0,2012
"Nash County, North Carolina",95545.0,53751.0,35412.0,497.0,775.0,46022.0,49523.0,51599.0,43757.0,52601.0,32176.0,30952.0,34010.0,-666666666.0,47157.0,37298.0,40731.0,83145.0,5131.0,147.0,0.0,29.0,2012
"Alexander County, North Carolina",37014.0,32871.0,2021.0,87.0,314.0,18575.0,18439.0,32471.0,39544.0,40227.0,33333.0,33889.0,62721.0,120250.0,25282.0,38393.0,26613.0,33239.0,1301.0,0.0,0.0,6.0,2012
"Dare County, North Carolina",34019.0,31611.0,1416.0,187.0,29.0,17001.0,17018.0,30178.0,55780.0,56829.0,42672.0,-666666666.0,38558.0,-666666666.0,35298.0,80066.0,35987.0,29554.0,2011.0,34.0,0.0,53.0,2012
"Warren County, North Carolina",20860.0,8011.0,10764.0,782.0,81.0,10665.0,10195.0,7883.0,34803.0,54337.0,26731.0,14755.0,85167.0,-666666666.0,30375.0,74880.0,29821.0,19000.0,499.0,13.0,0.0,0.0,2012
"Wilson County, North Carolina",81020.0,41892.0,31039.0,288.0,564.0,38568.0,42452.0,40142.0,38398.0,51977.0,26778.0,6937.0,29265.0,-666666666.0,31007.0,35859.0,29391.0,68082.0,6215.0,88.0,104.0,42.0,2012
"Gates County, North Carolina",12069.0,7666.0,4129.0,21.0,39.0,5989.0,6080.0,7576.0,45136.0,50511.0,32443.0,-666666666.0,164063.0,-666666666.0,-666666666.0,77159.0,34375.0,11159.0,155.0,56.0,0.0,7.0,2012
"Graham County, North Carolina",8766.0,7864.0,48.0,505.0,84.0,4316.0,4450.0,7825.0,32137.0,31296.0,-666666666.0,48583.0,-666666666.0,-666666666.0,80455.0,15313.0,43929.0,7936.0,223.0,0.0,0.0,0.0,2012
"Madison County, North Carolina",20727.0,19919.0,269.0,67.0,95.0,10326.0,10401.0,19676.0,38658.0,38730.0,75909.0,-666666666.0,-666666666.0,-666666666.0,60083.0,35750.0,19875.0,19203.0,397.0,75.0,0.0,0.0,2012
"Pamlico County, North Carolina",13145.0,10114.0,2537.0,66.0,42.0,6697.0,6448.0,9799.0,43825.0,52515.0,29352.0,-666666666.0,62750.0,-666666666.0,51875.0,38000.0,52000.0,11975.0,404.0,11.0,0.0,11.0,2012
"Polk County, North Carolina",20386.0,18768.0,1038.0,11.0,76.0,9839.0,10547.0,18037.0,42762.0,44091.0,30464.0,-666666666.0,33750.0,-666666666.0,12167.0,25179.0,26071.0,18445.0,849.0,63.0,0.0,0.0,2012
"Randolph County, North Carolina",141568.0,124563.0,7858.0,519.0,1403.0,69758.0,71810.0,115140.0,41575.0,42935.0,34231.0,36425.0,51250.0,-666666666.0,33690.0,28424.0,33738.0,118446.0,12291.0,124.0,0.0,109.0,2012
"Stokes County, North Carolina",47224.0,44254.0,2000.0,289.0,111.0,22914.0,24310.0,43298.0,42476.0,43415.0,37565.0,14540.0,12054.0,-666666666.0,22396.0,66719.0,48594.0,43484.0,990.0,48.0,0.0,13.0,2012
"Washington County, North Carolina",13085.0,6067.0,6592.0,46.0,11.0,6086.0,6999.0,5912.0,33718.0,42355.0,25154.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36277.0,11884.0,310.0,0.0,0.0,14.0,2012
"Clay County, North Carolina",10575.0,10169.0,82.0,38.0,21.0,5155.0,5420.0,10094.0,38536.0,38455.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,24545.0,42738.0,24091.0,9788.0,199.0,10.0,0.0,0.0,2012
"Cumberland County, North Carolina",319329.0,165619.0,114520.0,3282.0,7323.0,154714.0,164615.0,150579.0,45413.0,50773.0,39023.0,34282.0,51023.0,47083.0,40757.0,40727.0,41391.0,260956.0,18954.0,871.0,186.0,415.0,2012
"Guilford County, North Carolina",489576.0,282773.0,160319.0,2486.0,20137.0,233213.0,256363.0,265339.0,46223.0,56584.0,33620.0,40795.0,48757.0,2499.0,32870.0,38138.0,33097.0,402514.0,28118.0,2095.0,280.0,474.0,2012
"Jackson County, North Carolina",39985.0,33714.0,814.0,3681.0,276.0,19659.0,20326.0,32691.0,36403.0,37365.0,27848.0,35387.0,21148.0,-666666666.0,18940.0,48047.0,21159.0,34997.0,1716.0,204.0,0.0,12.0,2012
"Pasquotank County, North Carolina",40551.0,23357.0,15656.0,27.0,470.0,19752.0,20799.0,22362.0,46032.0,57895.0,31151.0,41364.0,64286.0,-666666666.0,24856.0,36510.0,32569.0,35489.0,1436.0,122.0,0.0,0.0,2012
"Robeson County, North Carolina",133920.0,41535.0,32256.0,50448.0,1072.0,65068.0,68852.0,36212.0,30167.0,38501.0,24313.0,28064.0,35547.0,21250.0,25649.0,37321.0,23920.0,112976.0,9063.0,27.0,152.0,59.0,2012
"Swain County, North Carolina",13995.0,9447.0,362.0,3269.0,37.0,6992.0,7003.0,9152.0,43426.0,46387.0,31400.0,24076.0,18125.0,-666666666.0,-666666666.0,74321.0,80300.0,12679.0,308.0,0.0,0.0,0.0,2012
"Wake County, North Carolina",905573.0,619850.0,188710.0,2766.0,48689.0,441250.0,464323.0,563473.0,65826.0,74916.0,43253.0,75547.0,84238.0,38011.0,35691.0,56982.0,38494.0,701685.0,71013.0,4771.0,360.0,1307.0,2012
"Anson County, North Carolina",26699.0,12687.0,12968.0,174.0,301.0,13918.0,12781.0,12220.0,34772.0,44742.0,26045.0,14833.0,29063.0,-666666666.0,14111.0,22250.0,21000.0,23947.0,738.0,57.0,0.0,0.0,2012
"McDowell County, North Carolina",44926.0,41380.0,1638.0,132.0,417.0,22485.0,22441.0,39908.0,36388.0,37712.0,21738.0,33750.0,71902.0,-666666666.0,18694.0,21845.0,21081.0,39996.0,1982.0,17.0,0.0,0.0,2012
"Franklin County, North Carolina",60470.0,40547.0,15602.0,397.0,287.0,30082.0,30388.0,38474.0,42920.0,53570.0,27156.0,23625.0,50885.0,-666666666.0,48008.0,26129.0,37096.0,52146.0,3933.0,40.0,0.0,37.0,2012
"Jones County, North Carolina",10144.0,6321.0,3261.0,40.0,12.0,5055.0,5089.0,6208.0,36460.0,42009.0,27444.0,44196.0,-666666666.0,-666666666.0,65119.0,9313.0,65357.0,9102.0,309.0,0.0,0.0,0.0,2012
"Macon County, North Carolina",33815.0,31663.0,308.0,102.0,241.0,16427.0,17388.0,30586.0,38134.0,38532.0,23036.0,29167.0,44265.0,-666666666.0,34070.0,39441.0,40469.0,29908.0,1815.0,50.0,0.0,6.0,2012
