SID,ESCAPE DATE,ESCAPE TYPE,ESCAPE SEVERITY
SC01123121,NO ESCAPES DURING CURRENT INCARCERATION
SC02385010,NO ESCAPES DURING CURRENT INCARCERATION
SC00008312,NO ESCAPES DURING CURRENT INCARCERATION
SC02252451,NO ESCAPES DURING CURRENT INCARCERATION
SC01783137,NO ESCAPES DURING CURRENT INCARCERATION
SC02006673,NO ESCAPES DURING CURRENT INCARCERATION
SC02032595,NO ESCAPES DURING CURRENT INCARCERATION
SC01791476,04/03/2015,ESCAPE,CLASS I
SC02159102,NO ESCAPES DURING CURRENT INCARCERATION
SC01888427,NO ESCAPES DURING CURRENT INCARCERATION
SC02410173,NO ESCAPES DURING CURRENT INCARCERATION
SC01784145,06/06/2022,ATTEMPTED ESCAPE,CLASS I
SC01663930,NO ESCAPES DURING CURRENT INCARCERATION
SC00173905,NO ESCAPES DURING CURRENT INCARCERATION
SC02168120,NO ESCAPES DURING CURRENT INCARCERATION
SC01269058,NO ESCAPES DURING CURRENT INCARCERATION
SC01718294,NO ESCAPES DURING CURRENT INCARCERATION
SC02102129,NO ESCAPES DURING CURRENT INCARCERATION
SC00225703,NO ESCAPES DURING CURRENT INCARCERATION
SC00882119,NO ESCAPES DURING CURRENT INCARCERATION
SC00822738,NO ESCAPES DURING CURRENT INCARCERATION
SC00924775,NO ESCAPES DURING CURRENT INCARCERATION
SC01657297,NO ESCAPES DURING CURRENT INCARCERATION
SC01198334,NO ESCAPES DURING CURRENT INCARCERATION
SC01464460,NO ESCAPES DURING CURRENT INCARCERATION
SC00030847,NO ESCAPES DURING CURRENT INCARCERATION
SC01801009,NO ESCAPES DURING CURRENT INCARCERATION
SC00533419,NO ESCAPES DURING CURRENT INCARCERATION
SC01004693,10/27/2013,ESCAPE,CLASS I
SC00761402,NO ESCAPES DURING CURRENT INCARCERATION
SC01138300,NO ESCAPES DURING CURRENT INCARCERATION
SC02058645,11/18/2021,ATTEMPTED ESCAPE,CLASS I
SC01060982,NO ESCAPES DURING CURRENT INCARCERATION
SC01939080,NO ESCAPES DURING CURRENT INCARCERATION
SC01668898,NO ESCAPES DURING CURRENT INCARCERATION
SC00041839,NO ESCAPES DURING CURRENT INCARCERATION
SC00546376,NO ESCAPES DURING CURRENT INCARCERATION
SC00437205,NO ESCAPES DURING CURRENT INCARCERATION
SC02391687,NO ESCAPES DURING CURRENT INCARCERATION
SC01415416,NO ESCAPES DURING CURRENT INCARCERATION
SC01623382,NO ESCAPES DURING CURRENT INCARCERATION
SC01801458,NO ESCAPES DURING CURRENT INCARCERATION
SC01816124,NO ESCAPES DURING CURRENT INCARCERATION
SC01836376,NO ESCAPES DURING CURRENT INCARCERATION
SC01326165,NO ESCAPES DURING CURRENT INCARCERATION
SC00882210,NO ESCAPES DURING CURRENT INCARCERATION
SC01859908,NO ESCAPES DURING CURRENT INCARCERATION
SC02243886,NO ESCAPES DURING CURRENT INCARCERATION
SC01019783,NO ESCAPES DURING CURRENT INCARCERATION
SC01746338,NO ESCAPES DURING CURRENT INCARCERATION
SC01223782,NO ESCAPES DURING CURRENT INCARCERATION
SC02274639,NO ESCAPES DURING CURRENT INCARCERATION
SC01061027,NO ESCAPES DURING CURRENT INCARCERATION
SC01493881,NO ESCAPES DURING CURRENT INCARCERATION
SCL0002335,NO ESCAPES DURING CURRENT INCARCERATION
SC00965629,NO ESCAPES DURING CURRENT INCARCERATION
SC00004627,NO ESCAPES DURING CURRENT INCARCERATION
SC01373936,NO ESCAPES DURING CURRENT INCARCERATION
SC01547452,NO ESCAPES DURING CURRENT INCARCERATION
SC00711458,NO ESCAPES DURING CURRENT INCARCERATION
SC02396630,NO ESCAPES DURING CURRENT INCARCERATION
SC01076451,NO ESCAPES DURING CURRENT INCARCERATION
SC00307046,NO ESCAPES DURING CURRENT INCARCERATION
SC00303194,07/03/1984,ATTEMPTED ESCAPE,CLASS I
SC00303194,05/27/1983,ESCAPE,CLASS II
SC00303194,10/25/1982,ESCAPE,CLASS I
SC01541125,NO ESCAPES DURING CURRENT INCARCERATION
SC01864247,NO ESCAPES DURING CURRENT INCARCERATION
SC01909165,NO ESCAPES DURING CURRENT INCARCERATION
SC02471046,NO ESCAPES DURING CURRENT INCARCERATION
SC01771439,NO ESCAPES DURING CURRENT INCARCERATION
SC01140459,NO ESCAPES DURING CURRENT INCARCERATION
SC02259613,NO ESCAPES DURING CURRENT INCARCERATION
SC02319162,NO ESCAPES DURING CURRENT INCARCERATION
SC02013710,NO ESCAPES DURING CURRENT INCARCERATION
SC01861380,NO ESCAPES DURING CURRENT INCARCERATION
SC00533969,NO ESCAPES DURING CURRENT INCARCERATION
SC00821779,NO ESCAPES DURING CURRENT INCARCERATION
SC00971747,02/20/2022,ESCAPE,CLASS I
SC02095824,NO ESCAPES DURING CURRENT INCARCERATION
SC02011599,NO ESCAPES DURING CURRENT INCARCERATION
SC01659445,NO ESCAPES DURING CURRENT INCARCERATION
SC01139431,NO ESCAPES DURING CURRENT INCARCERATION
SC01992840,NO ESCAPES DURING CURRENT INCARCERATION
SC02101387,NO ESCAPES DURING CURRENT INCARCERATION
SC02479063,NO ESCAPES DURING CURRENT INCARCERATION
SC00204373,NO ESCAPES DURING CURRENT INCARCERATION
SC02142491,NO ESCAPES DURING CURRENT INCARCERATION
SC02155149,NO ESCAPES DURING CURRENT INCARCERATION
SC00958180,NO ESCAPES DURING CURRENT INCARCERATION
SC00566933,NO ESCAPES DURING CURRENT INCARCERATION
SC02088085,NO ESCAPES DURING CURRENT INCARCERATION
SC01787211,NO ESCAPES DURING CURRENT INCARCERATION
SC01331452,NO ESCAPES DURING CURRENT INCARCERATION
SC01209840,NO ESCAPES DURING CURRENT INCARCERATION
SC02306958,NO ESCAPES DURING CURRENT INCARCERATION
SC01353905,NO ESCAPES DURING CURRENT INCARCERATION
SC00938452,NO ESCAPES DURING CURRENT INCARCERATION
